,pack,level_id,question,question_r,solution_r,solution_nl,solution_tool,solution_symbol,initial_symbol
28,Gamma,https://euclidea.fandom.com/wiki/Midpoints_of_Trapezoid_Bases,"Description: Construct a line passing through the midpoints of the trapezoid bases.Given the trapezoid ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a line passing through the midpoints of the trapezoid bases.Given the trapezoid ABCD.
Solution: ","Construct the perpendicular bisector of the base AB, intersecting AB at E
Construct the perpendicular bisector of the base CD, intersecting CD at F
Construct line EF
Rationale: Since the perpendicular bisector of a segment intersects its segment at its midpoint, you can construct the midpoints of the bases and join them, resolving the puzzle.
","<Perpendicular Tool>Construct the perpendicular bisector of the base AB, intersecting AB at E
<Perpendicular Tool>Construct the perpendicular bisector of the base CD, intersecting CD at F
<Line Tool>Construct line EF","['Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['ABCD'], ['AB', 'E'], ['CD', 'F'], ['EF']]",['ABCD']
29,Gamma,https://euclidea.fandom.com/wiki/Angle_of_45%C2%B0,"Description: Construct an angle of 45° with the given side.Let A be the initial point of the given ray and B a distinct arbitrary point on that ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle of 45° with the given side.Let A be the initial point of the given ray and B a distinct arbitrary point on that ray.
Solution: ","Construct the perpendicular to the ray from A; let C be a distinct arbitrary point on that perpendicular
Construct the angle bisector of  angle BAC
Rationale: By tracing the perpendicular to the line, the angle bisector will divide the 90° angle into two 45° angles.
","<Perpendicular Tool>Construct the perpendicular to the ray from A; let C be a distinct arbitrary point on that perpendicular
<Angle Bisector Tool>Construct the angle bisector of  angle BAC","['Perpendicular Tool', 'Angle Bisector Tool']","[['A', 'B'], ['C'], ['BAC']]","['A', 'B']"
30,Gamma,https://euclidea.fandom.com/wiki/Lozenge,"Description: Construct a rhombus with the given side and an angle of 45° in a vertex.Given the side AB (A on the left to match the orientation in explore mode)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a rhombus with the given side and an angle of 45° in a vertex.Given the side AB (A on the left to match the orientation in explore mode)
Solution: ","Construct the perpendicular to AB from A; let C be a distinct arbitrary point on that perpendicular (above A, to match the orientation in explore mode)
Construct the angle bisector of  angle BAC
Construct the circle with center A and radius AB, intersecting the angle bisector at D and line AC at E with E on the side of A opposite from C
Construct the perpendicular to AC through D
Construct line BE
Rationale: For the 5L solution, the angle bisector of AB and its perpendicular AC forms the required 45° angle, and circle A determines an equidistant point D for side AD.  Any perpendicular through AC is parallel to AB, forming the next side through D.  Finally, since triangle ABE is a right isosceles triangle, the extension of line BE forms the final side also at a 45° angle.
","<Perpendicular Tool>Construct the perpendicular to AB from A; let C be a distinct arbitrary point on that perpendicular (above A, to match the orientation in explore mode)
<Angle Bisector Tool>Construct the angle bisector of  angle BAC
<Circle Tool>Construct the circle with center A and radius AB, intersecting the angle bisector at D and line AC at E with E on the side of A opposite from C
<Perpendicular Tool>Construct the perpendicular to AC through D
<Line Tool>Construct line BE","['Perpendicular Tool', 'Angle Bisector Tool', 'Circle Tool', 'Perpendicular Tool', 'Line Tool']","[['AB', 'A'], ['C'], ['BAC'], ['AC', 'E', 'D'], [], ['BE']]","['AB', 'A']"
31,Gamma,https://euclidea.fandom.com/wiki/Center_of_Quadrilateral,"Description: Construct the midpoint of the segment that connects the midpoints of the diagonals of the quadrilateral.Given the quadrilateral ABCD (arbitrary which vertex is A)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct the midpoint of the segment that connects the midpoints of the diagonals of the quadrilateral.Given the quadrilateral ABCD (arbitrary which vertex is A)
Solution: ","Construct the perpendicular bisector of AB, intersecting AB at E
Construct the perpendicular bisector of CD, intersecting CD at F
Construct the perpendicular bisector of EF
Construct line EF
Point at the intersection of EF and its perpendicular bisector
Rationale: Consider the triangle ABC created by drawing diagonal AC with its midpoint H.  The smaller triangle AEH shares angle A, and its two sides AE and AH are both half the length of the larger AB and AC, so line EH is parallel to line BC and half its length.  Simlarly, considering triangle CDB by drawing diagonal BD with its midpoint I, the smaller triangle DFI demonstrates that FI is parallel to line BC and half its length.  With two sides parallel and the same length, the quadrilateral EHFI is now known to be a parallelogram.  Since the diagonals of a parallelogram intersect at their respective midpoints, the problem of finding the midpoint of diagonal HI is equivalent to finding the midpoint of diagonal EF.
","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at E
<Perpendicular Tool>Construct the perpendicular bisector of CD, intersecting CD at F
<Perpendicular Tool>Construct the perpendicular bisector of EF
<Line Tool>Construct line EF
<Perpendicular Tool>Point at the intersection of EF and its perpendicular bisector","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool', 'Perpendicular Tool']","[['ABCD', 'A'], ['AB', 'E'], ['CD', 'F'], ['EF'], [], []]","['ABCD', 'A']"
32,Delta,https://euclidea.fandom.com/wiki/Double_Segment,"Description: Construct a point C on the line AB such that |AC|=2|AB| using only a compass.
Tool List: ['Point Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","Description: Construct a point C on the line AB such that |AC|=2|AB| using only a compass.
Solution: ","Construct the circle with center A and radius AB
Construct the circle with center B and radius AB, intersecting circle A at D and E
Construct the circle with center D and radius DE, intersecting circle B at C
Point at C
Rationale: ABD and ABE are both equilateral triangles by construction, with 



∠


{\displaystyle \angle}

DAB = 60°.  Although not traced, segment DE would be the perpendicular bisector of AB, intersecting AB at its midpoint M, and where 



∠


{\displaystyle \angle}

DMB is 90°.  We are trying to find the point C on circle B that is collinear with AB, which would make AC a diameter of B and thus length 2|AB|; it would also mean |MC|=3|AB|/2.  The height of an equilateral triangle, DM, is √3/2 times its base, so segment DE and thus the radius of circle D is length √3|AB|.  Therefore, the sides DM, MC, and CD are in the ratio 1:√3:2 of a 30-60-90 triangle, and we have established that the intersection of circles B and D is indeed our desired point C.
","<Circle Tool>Construct the circle with center A and radius AB
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at D and E
<Circle Tool>Construct the circle with center D and radius DE, intersecting circle B at C
<Point Tool>Point at C","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['C', 'AB', 'AC', 'AB'], ['A'], ['B', 'E', 'D'], ['DE'], []]","['C', 'AB', 'AC', 'AB']"
33,Delta,https://euclidea.fandom.com/wiki/Angle_of_60%C2%B0_-_2,"Description: Construct a straight line through the given point that makes an angle of 60° with the given line.Let A be the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a straight line through the given point that makes an angle of 60° with the given line.Let A be the given point.
Solution: ","Construct circle B with radius AB, intersecting the line at point C
Construct circle C with radius AC, intersecting circle B at point D
Construct circle D with radius CD, intersecting circle C at points E and F (E on the left to match the orientation in explore mode)
Construct line AE
Rationale: The 4E reflection solution starts by using circle B and C to reflect point A across the line BC to point D, with AD perpendicular to the line.  Then circle D creates the equilateral triangle CDE by construction, so the length of arc ED in circle C is 60°.  By the inscribed angle theorem, 



∠


{\displaystyle \angle}

EAD is thus 30°.  If point G is the intersection of AE with the original line, and H the midpoint of AD, we have just constructed a 30-60-90 triangle, with 



∠


{\displaystyle \angle}

AGH the desired 60°.
","<Circle Tool>Construct circle B with radius AB, intersecting the line at point C
<Circle Tool>Construct circle C with radius AC, intersecting circle B at point D
<Circle Tool>Construct circle D with radius CD, intersecting circle C at points E and F (E on the left to match the orientation in explore mode)
<Line Tool>Construct line AE","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['B', 'AB', 'C'], ['AC', 'D'], ['CD', 'E', 'F'], ['AE']]",['A']
34,Delta,https://euclidea.fandom.com/wiki/Circumscribed_Equilateral_Triangle,"Description: Construct an equilateral triangle that is circumscribed about the circle and contains the given point.Let O be the center of the circle and A the point on it.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct an equilateral triangle that is circumscribed about the circle and contains the given point.Let O be the center of the circle and A the point on it.
Solution: ","Construct line OA, intersecting the circle at B
Construct the perpendicular to OA from A
Construct the circle with center B and radius OB, intersecting the circle at C and D, and line OA at E
Construct line CE
Construct line DE
Rationale: Line OA forms an altitude of the equilateral triangle, with A at the midpoint of the base.  Both constructions use circle B to determine the two sides at a 30° angle from the apex; this can be seen since triangles BCO and BDO are equilateral by construction, and angles ECO and EDO are 90 by Thales' theorem.  Having drawn tangents through C and D, point E is the apex of the desired triangle.  The final leg of the triangle through A is built with the perpendicular tool for the 5L solution, and by inscribing an equilateral triangle into the second larger circle O in the 6E solution.
","<Line Tool>Construct line OA, intersecting the circle at B
<Perpendicular Tool>Construct the perpendicular to OA from A
<Circle Tool>Construct the circle with center B and radius OB, intersecting the circle at C and D, and line OA at E
<Line Tool>Construct line CE
<Line Tool>Construct line DE","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['O', 'A'], ['B', 'OA'], [], ['E', 'C', 'OB', 'D'], ['CE'], ['DE']]","['O', 'A']"
35,Delta,https://euclidea.fandom.com/wiki/Equilateral_Triangle_in_Circle,"Description: Inscribe an equilateral triangle in the circle using the given point as a vertex. The center of the circle is not given.Let A be the vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Inscribe an equilateral triangle in the circle using the given point as a vertex. The center of the circle is not given.Let A be the vertex.
Solution: ","Construct a circle with center A and an arbitrary radius, intersecting the original circle at B and C
Construct the circle with center B and radius AB, intersecting circle A at D and E
Construct the perpendicular bisector of CD, intersecting the original circle at F
Construct the perpendicular bisector of CE, intersecting the original circle at G
Construct line FG (total 9E)
Rationale: In both 5L solutions, triangle ABC is isosceles by construction, with points B and C reflections of one another across the line from A through the center of the circle, even if that line is not drawn.  The next step constructs enough information to also go through the center of the circle (the first solution by drawing a second circle where connecting points D and E would be the perpendicular bisector of a chord AB, the second solution by directly bisecting the chord AC to determine where points D and E lie), while also determining three points that form a pair of equilateral triangles (ABD and ABE for the first solution, ACD and ACE for the second solution).  The next two steps take the perpendicular bisector of the reflected point on circle A through points D and E; the angle bisector of the two points with A as the vertex would produce the same effect, but with a higher E cost.  Regardless of the arc angle of circle A subtended by CDB, constructing the angle bisector after subtracting out the 60° arc along the equilateral triangle means that the resulting bisector will be offset by half of that, or 30°, from the line of symmetry in isosceles triangle ABC, which provides the needed angle for two of the sides of the final triangle.  The third side FG is then trivial to construct.
","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the original circle at B and C
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at D and E
<Perpendicular Tool>Construct the perpendicular bisector of CD, intersecting the original circle at F
<Perpendicular Tool>Construct the perpendicular bisector of CE, intersecting the original circle at G
<Line Tool>Construct line FG (total 9E)","['Circle Tool', 'Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['A'], ['B', 'C'], ['E', 'AB', 'D'], ['CD', 'F'], ['CE', 'G'], ['FG']]",['A']
36,Delta,https://euclidea.fandom.com/wiki/Cut_Two_Rectangles,"Description: Construct a line that cuts each of the rectangles into two parts of equal area.Given the rectangles ABCD and EFGH.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a line that cuts each of the rectangles into two parts of equal area.Given the rectangles ABCD and EFGH.
Solution: ","Construct line AC, a diagonal of the first rectangle
Construct line BD, the other diagonal, intersecting the previous diagonal at I
Construct line EG, a diagonal of the second rectangle
Construct line FH, the other diagonal, intersecting the previous diagonal at J
Construct line IJ
Rationale: Any straight line through the center of a rectangle divides the rectangle into equivalent halves (180° rotational symmetry around its center). Find each rectangle's center and draw one line through both points.
","<Line Tool>Construct line AC, a diagonal of the first rectangle
<Line Tool>Construct line BD, the other diagonal, intersecting the previous diagonal at I
<Line Tool>Construct line EG, a diagonal of the second rectangle
<Line Tool>Construct line FH, the other diagonal, intersecting the previous diagonal at J
<Line Tool>Construct line IJ","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'EFGH'], ['AC'], ['I', 'BD'], ['EG'], ['FH', 'J'], ['IJ']]","['ABCD', 'EFGH']"
37,Delta,https://euclidea.fandom.com/wiki/Square_Root_of_2,"Description: Let |AB|=1. Construct a point C on the ray AB such that the length of AC is equal to √2.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Let |AB|=1. Construct a point C on the ray AB such that the length of AC is equal to √2.
Solution: ","Construct the perpendicular to AB from B
Construct the circle with center B and radius AB, intersecting the perpendicular at D
Construct the circle with center A and radius AD, intersecting the ray at C
Point at C
Rationale: 



∠


{\displaystyle \angle}

ABD = 90o (step 1), and AB = 1 = BD (step 2).
","<Perpendicular Tool>Construct the perpendicular to AB from B
<Circle Tool>Construct the circle with center B and radius AB, intersecting the perpendicular at D
<Circle Tool>Construct the circle with center A and radius AD, intersecting the ray at C
<Point Tool>Point at C","['Perpendicular Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['AB', 'C', 'AB', 'AC'], ['B'], ['D'], ['A', 'AD'], []]","['AB', 'C', 'AB', 'AC']"
38,Delta,https://euclidea.fandom.com/wiki/Square_Root_of_3,"Description: Let |AB|=1. Construct a point C on the ray AB such that the length of AC is equal to √3.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Let |AB|=1. Construct a point C on the ray AB such that the length of AC is equal to √3.
Solution: ","Construct the circle with center B and radius AB, intersecting the ray at D
Construct the circle with center D and radius BD, intersecting circle B at E
Construct the circle with center A and radius AE, intersecting the ray at C
Point at C
Rationale: Using the 30-60-90 special triangle, we can deduce that side AE = 




3



{\displaystyle \sqrt{3}}

. AE and AC are both radii of the circle centered at A.
","<Circle Tool>Construct the circle with center B and radius AB, intersecting the ray at D
<Circle Tool>Construct the circle with center D and radius BD, intersecting circle B at E
<Circle Tool>Construct the circle with center A and radius AE, intersecting the ray at C
<Point Tool>Point at C","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['AB', 'C', 'AB', 'AC'], ['B', 'D'], ['E', 'BD'], ['A', 'AE'], []]","['AB', 'C', 'AB', 'AC']"
39,Delta,https://euclidea.fandom.com/wiki/Angle_of_15%C2%B0,"Description: Construct an angle of 15° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle of 15° with the given side.Let A be the initial point of the given ray.
Solution: ","Construct a circle with an arbitrary center B and radius AB, intersecting the ray at C
Construct the circle with center C and radius BC, intersecting circle B at D and E (D above ray to match orientation of explore mode)
Construct the angle bisector of  angle DAC
Rationale: See Angle of 30° for the proof that points D and E form a 30° angle from A; the angle bisector thus gives the desired 15° angle.  The 3L solution constructs the angle bisector directly; the 5E solution uses the fact that BCD is an equilateral triangle, so the perpendicular bisector of CD (line BG) divides arc CD of circle A into two equal parts.  The 2V solution then reflects the first solution over ray A.
","<Circle Tool>Construct a circle with an arbitrary center B and radius AB, intersecting the ray at C
<Circle Tool>Construct the circle with center C and radius BC, intersecting circle B at D and E (D above ray to match orientation of explore mode)
<Angle Bisector Tool>Construct the angle bisector of  angle DAC","['Circle Tool', 'Circle Tool', 'Angle Bisector Tool']","[['A'], ['B', 'AB', 'C'], ['E', 'BC', 'D'], ['DAC']]",['A']
40,Delta,https://euclidea.fandom.com/wiki/Square_by_Opposite_Midpoints,"Description: Construct a square, given two midpoints of opposite sides.Let A and B be the given midpoints.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a square, given two midpoints of opposite sides.Let A and B be the given midpoints.
Solution: ","Construct the circle with center A and radius AB
Construct the circle with center B and radius AB, intersecting circle A at C and D.
Construct the circle with center C and radius CB
We draw the line (AC) that crosses the circle of center C in D.
Rationale: There is a third 10 E alternative that might be simpler to understand than the previous ones. They are based on perendiculars line and perpendicular bisectors. 
","<Circle Tool>Construct the circle with center A and radius AB
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at C and D.
<Circle Tool>Construct the circle with center C and radius CB
<Line Tool>We draw the line (AC) that crosses the circle of center C in D.","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB'], ['C', 'D'], ['CB'], ['AC']]","['A', 'B']"
41,Delta,https://euclidea.fandom.com/wiki/Square_by_Adjacent_Midpoints,"Description: Construct a square, given two midpoints of adjacent sides.Let A and B be the given midpoints.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a square, given two midpoints of adjacent sides.Let A and B be the given midpoints.
Solution: ","Construct line AB
Construct the perpendicular to AB from A
Construct the angle bisector of  angle BAC with C an arbitrary point on the perpendicular (to match the orientation of explore mode, choose C above A)
Construct the perpendicular to that angle bisector through B, intersecting AC at D
Construct the circle with center B and radius BD, intersecting BD at E and AC at F
Construct the perpendicular bisector of BE
Construct the perpendicular to the angle bisector of  angle BAC through F
Rationale: The key to starting the construction is realizing that the sides of the squares through A and B are at a 45° to the line AB.  The different constructions then minimize the number of steps to get that angle (the 7L construction by using the angle bisector of a perpendicular at point A, the 10E construction by using circle C at the midpoint of AB to construct a 45-45-90 triangle ACD).  From there, the constructions use a different choice of circle to determine where remaining vertices of the square will fall.  The 7L solution constructs circle B with a radius that matches the length of a side of the square, such that F is the reflection of D across AB and found on the midpoint opposite from B, and E is the reflection of D across BF and twice as far as the final vertex.  The 10E solution instead constructs circle E at twice the size of circle C, where E is the midpoint of the final square and intersects the remaining three vertices.
","<Line Tool>Construct line AB
<Perpendicular Tool>Construct the perpendicular to AB from A
<Perpendicular Tool>Construct the angle bisector of  angle BAC with C an arbitrary point on the perpendicular (to match the orientation of explore mode, choose C above A)
<Perpendicular Tool>Construct the perpendicular to that angle bisector through B, intersecting AC at D
<Circle Tool>Construct the circle with center B and radius BD, intersecting BD at E and AC at F
<Perpendicular Tool>Construct the perpendicular bisector of BE
<Perpendicular Tool>Construct the perpendicular to the angle bisector of  angle BAC through F","['Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['A', 'B'], ['AB'], [], ['C', 'BAC'], ['AC', 'D'], ['E', 'BD', 'F'], ['BE'], []]","['A', 'B']"
42,Epsilon,https://euclidea.fandom.com/wiki/Parallel_Line,"Description: Construct a line parallel to the given line and through the given point.Let A be the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a line parallel to the given line and through the given point.Let A be the given point.
Solution: ","Construct the perpendicular to the line through A
Construct the perpendicular to the previous perpendicular from A
Rationale: The 2L solution works because any two lines both perpendicular to a third a parallel to one another.
","<Perpendicular Tool>Construct the perpendicular to the line through A
<Perpendicular Tool>Construct the perpendicular to the previous perpendicular from A","['Perpendicular Tool', 'Perpendicular Tool']","[['A'], [], []]",['A']
43,Epsilon,https://euclidea.fandom.com/wiki/Parallel_Tool,"Description: You have discovered the Parallel tool. Click on the line, then on the point.
Tool List: ['Parallel Tool']
Solution: ","Description: You have discovered the Parallel tool. Click on the line, then on the point.
Solution: ","With the parallel tool active, click on the line then on the point.
Rationale: The parallel tool works by clicking on a point then clicking on a line, by clicking on a line then on a point, or by click-and-hold on a line and dragging to a point.  When starting on the line, the tool visualizes where the parallel line will land before selecting the point.  The line (or line segment) must already be constructed; there is no way to draw a line parallel to the implied line between two arbitrary points (including when the implied line is a decoration such as the one drawn by the Perpendicular Bisector Tool).
","<Parallel Tool>With the parallel tool active, click on the line then on the point.",['Parallel Tool'],"[[], []]",[]
44,Epsilon,https://euclidea.fandom.com/wiki/Parallelogram_by_Three_Vertices,"Description: Construct a parallelogram whose three of four vertices are given.Let A, B and C be the given vertices (to match the orientation of explore mode, place A on top and B on the left)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a parallelogram whose three of four vertices are given.Let A, B and C be the given vertices (to match the orientation of explore mode, place A on top and B on the left)
Solution: ","Construct line AB
Construct line BC
Construct the parallel to AB through C
Construct the parallel to BC through A
Rationale: The 4L solution minimizes moves by directly using two parallel lines, which is the defining characteristic of a parallelogram.
","<Line Tool>Construct line AB
<Line Tool>Construct line BC
<Parallel Tool>Construct the parallel to AB through C
<Parallel Tool>Construct the parallel to BC through A","['Line Tool', 'Line Tool', 'Parallel Tool', 'Parallel Tool']","[['A', 'B', 'C', 'A', 'B'], ['AB'], ['BC'], [], []]","['A', 'B', 'C', 'A', 'B']"
45,Epsilon,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Two_Points_-_1,"Description: Construct a line through the point C and at equal distance from the points A and B but that does not pass between them.Given points A, B, and C (C already labeled, choice of A and B is arbitrary):
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the point C and at equal distance from the points A and B but that does not pass between them.Given points A, B, and C (C already labeled, choice of A and B is arbitrary):
Solution: ","Construct line AB
Construct the parallel to AB through C
Rationale: Two points are equidistant from any line parallel to the two points; the 2L solution constructs this line directly.
","<Line Tool>Construct line AB
<Parallel Tool>Construct the parallel to AB through C","['Line Tool', 'Parallel Tool']","[['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B'], ['AB'], []]","['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B']"
46,Epsilon,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Two_Points_-_2,"Description: Construct a line through the point C that goes between the points A and B and that is at equal distance from them.Given points A, B, and C, with C labeled and the choice of A and B arbitrary:
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the point C that goes between the points A and B and that is at equal distance from them.Given points A, B, and C, with C labeled and the choice of A and B arbitrary:
Solution: ","Construct the perpendicular bisector of AB
Construct line AB, intersecting its perpendicular bisector at D
Construct line CD
Rationale: Two points are equidistant from any line drawn through the midpoint of those two points.  Once the midpoint is determined, finish the construction by connecting it to point C.
","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Line Tool>Construct line AB, intersecting its perpendicular bisector at D
<Line Tool>Construct line CD","['Perpendicular Tool', 'Line Tool', 'Line Tool']","[['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B'], ['AB'], ['D'], ['CD']]","['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B']"
47,Epsilon,https://euclidea.fandom.com/wiki/Hash,"Description: Construct a line through the given point on which two pairs of parallel lines cut off equal line segments.Let O be the given point, and ABCD the parallelogram created by the two pairs of parallel lines (A on top to match the orientation of explore mode):
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a line through the given point on which two pairs of parallel lines cut off equal line segments.Let O be the given point, and ABCD the parallelogram created by the two pairs of parallel lines (A on top to match the orientation of explore mode):
Solution: ","Construct line AC, a diagonal of the parallelogram
Construct the parallel to AC through O
Rationale: The diagonal of the parallelogram is a line which cuts off equal line segments from both the pairs of parallel lines, so all other solutions are parallel to a diagonal of the parallelogram.
","<Line Tool>Construct line AC, a diagonal of the parallelogram
<Parallel Tool>Construct the parallel to AC through O","['Line Tool', 'Parallel Tool']","[['O', 'ABCD', 'A'], ['AC'], []]","['O', 'ABCD', 'A']"
48,Epsilon,https://euclidea.fandom.com/wiki/Shift_Angle,"Description: Construct an angle from the given point that is equal to the given angle so that their sides are parallel.Let O be the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle from the given point that is equal to the given angle so that their sides are parallel.Let O be the given point.
Solution: ","Construct the parallel to one side of the angle through O
Construct the parallel to the other side of the angle through O
Rationale: Completing the parallelogram with A and O forming one diagonal produces the shifted angle.  For the first 6E solution, two parallel lines are constructed by sharing the same reflection of point O across point A, then reflecting B across AC to E, as well as across AD to F.  For the alternate solution, the two parallel lines are constructed by rhombi with side length OA by sharing circle A and O.
","<Angle Bisector Tool>Construct the parallel to one side of the angle through O
<Angle Bisector Tool>Construct the parallel to the other side of the angle through O","['Angle Bisector Tool', 'Angle Bisector Tool']","[['O'], [], []]",['O']
49,Epsilon,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Two_Lines,"Description: Construct a straight line parallel to the given parallel lines that lies at equal distance from them.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a straight line parallel to the given parallel lines that lies at equal distance from them.
Solution: ","Construct the perpendicular to one line from an arbitrary point A on it, intersecting the other line at B
Construct the perpendicular bisector of AB
Rationale: The desired line is the parallel line through any midpoint of any other line that crosses the original two lines.  For the 2L construction, use of a perpendicular means that the perpendicular bisector can easily find the final line.
","<Perpendicular Tool>Construct the perpendicular to one line from an arbitrary point A on it, intersecting the other line at B
<Perpendicular Tool>Construct the perpendicular bisector of AB","['Perpendicular Tool', 'Perpendicular Tool']","[[], ['B', 'A'], ['AB']]",[]
